unit,year_month,fully_vac_rate
Waltham-hispanic,2021-08,0.45
Waltham-white,2021-08,0.62
Worcester-asian,2021-08,0.59
Worcester-black,2021-08,0.4
Worcester-hispanic,2021-08,0.39
Worcester-white,2021-08,0.53
Bellingham-asian,2021-09,0.51
Bellingham-black,2021-09,0.57
Bellingham-hispanic,2021-09,0.62
Bellingham-white,2021-09,0.55
Chelsea-asian,2021-09,0.6
Chelsea-black,2021-09,0.45
Chelsea-hispanic,2021-09,0.56
Chelsea-white,2021-09,0.7
Chicopee-asian,2021-09,0.53
Chicopee-black,2021-09,0.41
Chicopee-hispanic,2021-09,0.35
Chicopee-white,2021-09,0.56
Everett-asian,2021-09,0.63
Everett-black,2021-09,0.32
Everett-hispanic,2021-09,0.49
Everett-white,2021-09,0.59
Fitchburg-asian,2021-09,0.56
Fitchburg-black,2021-09,0.41
Fitchburg-hispanic,2021-09,0.37
Fitchburg-white,2021-09,0.54
Haverhill-asian,2021-09,0.57
Haverhill-black,2021-09,0.53
Haverhill-hispanic,2021-09,0.32
Haverhill-white,2021-09,0.58
Holyoke-asian,2021-09,0.56
Holyoke-black,2021-09,0.45
Holyoke-hispanic,2021-09,0.35
Holyoke-white,2021-09,0.61
Lawrence-asian,2021-09,0.59
Lawrence-black,2021-09,1.0
Lawrence-hispanic,2021-09,0.27
Lawrence-white,2021-09,0.92
Leominster-asian,2021-09,0.59
Leominster-black,2021-09,0.48
Leominster-hispanic,2021-09,0.43
Leominster-white,2021-09,0.62
Lynn-asian,2021-09,0.59
Lynn-black,2021-09,0.45
Lynn-hispanic,2021-09,0.43
Lynn-white,2021-09,0.66
Marlborough-asian,2021-09,0.51
Marlborough-black,2021-09,0.51
Marlborough-hispanic,2021-09,0.76
Marlborough-white,2021-09,0.59
Methuen-asian,2021-09,0.53
Methuen-black,2021-09,0.67
Methuen-hispanic,2021-09,0.31
Methuen-white,2021-09,0.57
Milford-asian,2021-09,0.5
Milford-black,2021-09,0.63
Milford-hispanic,2021-09,0.78
Milford-white,2021-09,0.61
New Bedford-asian,2021-09,0.5
New Bedford-black,2021-09,0.45
New Bedford-hispanic,2021-09,0.34
New Bedford-white,2021-09,0.45
Peabody-asian,2021-09,0.6
Peabody-black,2021-09,0.51
Peabody-hispanic,2021-09,0.5
Peabody-white,2021-09,0.6
Revere-asian,2021-09,0.67
Revere-black,2021-09,0.48
